pathway	description	W1_CLT_1_tags	W1_CLT_2_tags	W1_CLT_3_tags	W1_CLT_4_tags	W1_CLT_5_tags	W1_DSS_1_tags	W1_DSS_2_tags	W1_DSS_3_tags	W1_DSS_4_tags	W1_DSS_5_tags	W1_LbGP_1_tags	W1_LbGP_2_tags	W1_LbGP_3_tags	W1_LbGP_4_tags	W1_LbGP_5_tags	W2_CLT_1_tags	W2_CLT_2_tags	W2_CLT_3_tags	W2_CLT_4_tags	W2_CLT_5_tags	W2_DSS_1_tags	W2_DSS_2_tags	W2_DSS_3_tags	W2_DSS_4_tags	W2_DSS_5_tags	W2_LbGP_1_tags	W2_LbGP_2_tags	W2_LbGP_3_tags	W2_LbGP_4_tags	W2_LbGP_5_tags	W3_CLT_1_tags	W3_CLT_2_tags	W3_CLT_3_tags	W3_CLT_4_tags	W3_CLT_5_tags	W3_DSS_1_tags	W3_DSS_2_tags	W3_DSS_3_tags	W3_DSS_4_tags	W3_DSS_5_tags	W3_LbGP_1_tags	W3_LbGP_2_tags	W3_LbGP_3_tags	W3_LbGP_4_tags	W3_LbGP_5_tags
AST-PWY	L-arginine degradation II (AST pathway)	154.0	125.67	96.33	146.67	92.67	6745.0	8605.0	391.67	9034.0	73.67	1460.33	2441.67	3282.33	3204.0	3865.33	66.0	104.0	2759.33	69.33	1733.0	145.67	820.33	475.0	1317.33	171.67	638.0	267.0	171.33	140.33	195.0	7.67	10.0	11.67	12.0	10.67	108.0	29.0	16.67	10.33	48.33	14.33	9.67	9.33	8.0	7.0
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	1207.8102	865.3818	929.4501	1365.2358	649.0343	12877.101	21765.8617	13045.6274	24490.2604	2231.5132	8684.5806	10267.1245	26662.9581	17330.925	26064.1382	794.4087	823.029	6117.5251	600.2206	4523.1865	20346.5107	19532.7468	22687.3586	20968.8018	7026.5213	2857.5946	2559.6063	7121.5889	1716.74	5081.3844	369.5794	437.2664	862.0472	600.9941	841.7257	1482.7609	690.1775	431.5241	744.225	1296.5513	1094.9482	816.0651	782.6572	906.5318	1285.6872
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched amino acid biosynthesis	12386.1848	2797.8403	7129.3279	16822.7967	1648.0445	14456.6829	28584.8507	20375.9463	32576.5375	6455.4631	17933.115	12055.881000000001	29017.3935	22884.5934	30688.7561	17489.3561	6157.1522	17909.2352	17608.7673	19267.3712	26654.1424	28078.0671	33213.9544	30393.5508	12433.2654	9546.6291	10607.978000000001	9274.7938	6923.5903	7233.522	4947.9051	11843.1691	11094.7251	4283.5015	7291.553000000001	20228.8819	3051.0190000000002	3889.0842	5480.033	29254.0082	5538.1586	6874.4047	17317.253	10828.2431	12725.0157
CALVIN-PWY	Calvin-Benson-Bassham cycle	12064.9279	5262.1262	9403.1937	18123.8556	2235.5229999999997	18036.9532	30954.4177	15717.895	35115.7214	6426.4607	18388.6287	15324.4837	30346.937	24645.6321	31546.603	21690.5501	8599.5572	27803.7188	25999.3098	29125.7401	23331.7801	24987.6102	28265.9207	27864.7425	13338.2455	12416.8171	13781.4756	11944.2492	9244.2785	10381.8241	5920.1432	10100.632	14698.0117	5602.7745	8783.8454	19152.64	3964.5213	4920.8324	7544.5127	26763.8184	7083.9234	7428.0521	19455.4472	9901.3048	15370.0484
CENTFERM-PWY	pyruvate fermentation to butanoate	49.8243	29.6439	65.1801	84.086	30.27	389.8728	184.3407	218.9631	365.9393	25.6715	306.0568	1043.6379	959.3922	1243.9789	822.8406	64.6355	60.5046	114.9968	50.8544	81.1793	22.1431	29.1591	50.9533	21.089000000000002	28.298000000000002	308.7509	322.0076	80.7547	96.706	36.6269	33.6789	44.62	56.9861	49.2267	44.7101	44.8785	86.09200000000001	62.7786	35.6698	44.855	73.3951	49.5215	48.4945	44.5386	42.8933
COA-PWY	coenzyme A biosynthesis I	17091.5647	23569.4937	10139.6045	15857.9852	2705.3011	13117.8938	23557.9668	18621.9665	27273.2123	5926.935	18139.395	10394.0885	24616.1971	20512.035	25882.1714	19613.981	16914.834	15579.0365	23899.8264	17021.3179	22965.7197	25246.7459	28873.1345	26394.8392	11336.6391	11766.3527	11681.8049	12441.1896	6562.7062	11778.9664	6962.3	17256.3539	10155.3632	11050.5246	6333.9557	18388.4472	3463.972	8113.7088	4889.2327	24060.0823	6170.5487	6336.4273	16568.2741	11452.4476	15313.0309
COBALSYN-PWY	adenosylcobalamin salvage from cobinamide I	3625.5449	626.384	2144.9631	8199.9202	397.1743	10031.7098	18815.3604	15585.0658	21464.5542	4121.9148	9007.6205	8054.8601	17952.0494	13951.2878	19425.3803	9240.0865	313.7531	13050.0541	9511.0679	13034.1947	18282.9078	18389.661	22539.7899	19365.5611	6913.0845	3533.1063	5117.528	5326.1884	3451.3323	3940.0757	1129.4116	1440.4926	5365.0825	533.4758	3039.0913	10316.774	1271.3162	997.9934	3220.778	17912.1355	2194.8811	1659.2055	4612.6551	2864.4304	4527.1566
CODH-PWY	reductive acetyl coenzyme A pathway	3450.7317	272.4074	1241.7089999999998	1107.7424	196.3199	1207.0868	5309.4817	735.3563	5541.1595	1320.3974	5718.7846	2230.4039	8305.2638	4732.7147	7554.9877	2269.994	4089.5251	1338.1977	3629.0823	1829.2448	5683.2837	5834.6306	7142.7269	7526.9331	4312.9781	2637.0152	1307.497	1045.4233	1244.1815	912.5441	1124.5437	3982.4005	1726.7291	1288.0252	2363.6942	7754.1482	585.1625	703.935	1713.4597	9086.6263	814.0873	1473.5870000000002	8729.4972	1074.8018	2645.9624
COLANSYN-PWY	colanic acid building blocks biosynthesis	8296.4403	1842.9564	3980.9491	7870.1285	1211.6568	8850.5986	21632.1235	16122.3024	24726.3191	3689.8327	14405.9	7124.1230000000005	22352.1595	18090.6809	24327.2602	6385.7918	2230.535	2567.7479	2819.2027	2780.8777	19592.787	22326.2936	25374.6397	23785.1808	8331.4929	4044.6866	4626.7486	7923.7959	3083.9447	5381.0639	2248.9082	3239.3594	4135.5516	3299.2831	3299.7054	16206.4732	1542.5474	1058.7457	1610.8485	17798.1396	2985.728	3530.8723	7347.0044	7891.6608	6441.6814
COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	9170.5095	1720.1796	5619.5077	15753.7965	1175.5971	13222.575	25440.5812	17489.7773	28623.0837	5926.9939	13852.5011	11567.4651	24878.7432	19059.2848	26028.5363	15780.5227	4216.6296	19085.0944	15368.0794	20242.2922	21834.6593	22926.8708	28031.6284	25134.2609	10899.5261	7699.7177	9347.9192	6292.2479	6570.8195	5163.7981	3812.8006	8140.1106	10844.4193	2681.0219	6998.9848	15105.3649	2620.2805	2846.3615	5494.4057	21856.6859	4734.4578	6100.3021	16145.4718	8327.6999	10520.2469
DAPLYSINESYN-PWY	L-lysine biosynthesis I	8129.9322	2484.0999	6399.0756	12776.5446	1168.8184	12201.3219	20357.641	3684.1373	22439.9847	4293.0363	12121.703000000001	9999.3461	18032.0301	14785.0685	18270.8502	16411.3651	7993.0591	18863.4754	21271.857999999997	20671.8198	9376.6683	11279.6259	12276.573	14247.5652	9194.2308	10212.601	10056.5572	5884.5586	6280.9082	5993.08	5028.589	13127.8655	9974.2844	3256.2113	6190.2989	12219.7164	2823.46	4998.7476	5614.6881	14228.0977	4875.3562	4504.36	16111.4929	4663.9449	11664.2619
DENOVOPURINE2-PWY	superpathway of purine nucleotides de novo biosynthesis II	18086.4316	27190.5445	10757.4807	13533.7468	2948.6002	14987.1312	26824.3285	19250.2413	30964.7639	6090.5836	20286.3858	11560.2797	28517.3035	23287.5629	29688.5647	19520.1993	19312.3101	12836.2474	25764.4598	13149.6925	24850.7333	27447.9805	30813.0653	28979.174	12383.4665	12940.7091	11699.4847	14569.8409	5857.4381	13791.338	7375.4803	18404.4612	7649.5167	12474.3012	5546.4962	20762.4732	3524.8944	9095.995	4457.7637	26807.0292	6094.7051	4838.7024	16348.3978	10463.9141	15730.9817
DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I	9665.3453	1964.3712	5699.2751	14115.8404	1323.5219	14013.5875	26825.0845	17142.0471	30293.8938	5191.5699	15281.1656	11572.185	28499.1792	20810.5101	29538.2434	13883.1795	4739.6722	15872.8045	13751.9217	17129.8394	22991.0141	23589.4173	28035.857000000004	26322.6064	10814.3266	8473.3204	8778.1919	8566.7965	5855.6004	6381.423000000001	4137.339	10331.0585	9412.6932	3243.7891	6282.7792	17926.2534	2509.794	3167.6636	4637.7866	26568.7108	4635.8303	5939.8999	14804.6361	9071.5928	10332.0687
ECASYN-PWY	enterobacterial common antigen biosynthesis	298.307	226.1501	184.8364	292.388	162.7467	8384.5311	11420.7659	754.2537	12292.7693	149.4085	2582.1747	3441.7163	4955.644	5051.7959	5861.9824	131.6426	183.3568	3680.9889	140.0647	2585.1111	274.3665	1562.8017	872.7966	2351.6906	347.1677	1146.2561	507.4835	350.0334	270.1532	389.6314	16.1597	20.9677	24.7273	25.2007	22.5352	218.7929	58.8822	34.3394	21.8174	99.1503	30.2316	20.3881	19.8333	17.0474	14.9226
ENTBACSYN-PWY	enterobactin biosynthesis	777.3705	631.0648	477.8687	704.2189999999999	399.4622	9189.1655	12478.0721	1807.5718	13938.0295	356.2645	5039.3576	3927.4716	7339.1468	7319.7802	8282.591	341.3316	523.688	4227.4942	355.4979	3307.7671	730.1609	3439.8225	2216.1091	4855.321	803.957	2364.3895	1159.112	818.7665	573.7117	912.3197	40.5232	53.0238	60.8914	63.5069	55.5295	544.9705	143.0335	86.7112	53.3853	249.7764	74.595	50.3382	49.5157	42.394	37.1841
FAO-PWY	fatty acid &beta;-oxidation I	413.8684	300.2288	257.2102	421.3217	222.548	14389.2735	19574.9306	950.4473	20619.7772	177.9995	3478.6786	5708.4196	7840.9517	7614.2084	9178.4891	187.2749	281.4545	6348.5114	190.7637	4251.3301	350.8635	1959.8061	1140.7859	3139.381	412.9096	1682.2644	712.8389	415.2451	343.5525	467.6491	22.8947	29.9501	34.0531	34.3826	29.0654	263.0057	79.0507	49.4161	27.1721	119.6807	41.7755	28.4299	27.8182	23.8785	20.916999999999998
FASYN-ELONG-PWY	fatty acid elongation -- saturated	19005.0784	26996.1253	11437.5357	15022.9386	3136.2184	17422.5776	33890.835	22808.979	38689.4214	7079.8361	24053.7564	14279.2474	38593.1063	28835.9165	39141.858	20293.8829	19599.0307	12970.2313	25872.7012	13134.6313	32668.4359	34675.7567	39618.4329	37404.2399	15706.2224	13094.1056	12276.4472	16316.5629	7260.7894	14833.489	7316.8064	15946.0692	10454.1124	12732.6599	7750.3051	24717.2021	3903.3088	8570.3155	5472.0473	33178.8364	6790.507	7174.1147	19823.9125	11866.2689	16730.8186
FASYN-INITIAL-PWY	superpathway of fatty acid biosynthesis initiation (E. coli)	487.3437	419.3693	385.3181	544.8361	328.4755	11606.7983	16427.3924	9962.8804	18384.6602	1435.0333	5441.9396	9969.0298	24571.8968	13844.399	21986.2819	314.35200000000003	391.8784	5779.2432	289.6484	3945.9481	16332.8101	15184.5869	17386.7993	15788.1627	5778.4882	2026.0267	1394.7163	6140.9985	866.7869999999999	4719.913	148.9666	199.611	340.829	245.875	345.3712	563.0463	341.7655	234.6839	420.6347	478.6567	501.1889	322.4663	301.6929	347.9611	533.8305
FERMENTATION-PWY	mixed acid fermentation	8393.508	1948.3619	5015.7571	12055.5862	1054.4774	15832.306	21490.9918	5215.3286	24346.0596	3975.5039	13633.7596	9753.7574	12057.9347	15329.5543	14019.3212	13016.473	1121.0818	10491.3773	8523.9068	9917.8642	1243.3298	8949.6958	3133.3429	8622.5895	7226.8931	7415.6275	8756.5148	9596.6174	5495.2557	7590.8817	2906.4222	4362.0012	8428.2256	1726.6555	4483.0745	8693.2363	2397.4182	2435.505	3659.6186	2545.21	4242.1828	3604.1579	9271.504	6400.3258	9342.3596
FOLSYN-PWY	superpathway of tetrahydrofolate biosynthesis and salvage	10677.1596	3166.6927	6785.8549	14314.021	1555.4219	14022.8981	25910.1016	16310.046	29392.0557	5503.7519999999995	15846.6345	11355.0214	25915.5057	20424.3881	27162.4122	16493.0059	2795.3096	17005.505	18221.3509	17778.806	22440.5828	23790.896	27560.8824	25875.6185	10957.2385	8192.8411	9900.7614	9540.0475	6492.8259	7901.5975	3971.5597	6303.0858	10211.849	3216.64	6388.8596	17490.7793	2887.7148	3195.5853	5008.7115	25007.5863	5165.4722	5497.1676	13971.9639	8438.1816	11468.2257
FUC-RHAMCAT-PWY	superpathway of fucose and rhamnose degradation	1097.0964	291.0794	442.2919	1628.6955	208.2111	8544.0104	13052.1586	8061.2122	14669.378999999999	1843.1870000000001	5303.8478	4968.4267	9109.4369	8123.5096	10518.4782	747.1996	250.1845	4205.1667	646.5695	2856.0628	9856.3545	10537.1754	12728.9005	10917.5177	3094.8946	1430.1263	1335.7804	853.2127	508.7721	840.9777	236.4396	415.5775	373.6567	240.5871	341.6225	563.9293	245.2703	186.2543	237.1729	501.0498	321.7248	417.727	809.7149	1218.9687	982.9831
FUCCAT-PWY	fucose degradation	3185.3363	213.9846	417.5586	3645.0029	146.8199	7200.0246	9492.119	10190.6677	10756.7752	2090.6294	3874.5488	3453.1886	5623.846	5557.6754	6714.2241	2908.9971	170.3083	3953.7196	806.6241	2447.124	7747.0827	8909.2097	11446.6532	8213.9917	2095.8337	930.1436	1146.7405	412.6714	305.7763	423.4597	202.4562	1173.7551	231.0674	145.7506	184.5709	258.608	163.0368	130.2731	127.3246	226.2431	191.04	362.6023	984.4672	2193.762	1121.6686
GALACT-GLUCUROCAT-PWY	superpathway of hexuronide and hexuronate degradation	3194.7406	1146.1426	3257.9277	7403.6043	885.9709	9170.0762	12848.4419	5112.4353	14115.4133	2075.1285	3649.3852	7494.286999999999	14465.5709	8966.1227	13195.5775	8547.4028	1040.5059	13772.1348	9598.7429	14064.1768	8035.2801	7588.746999999999	8439.3627	8250.1107	3987.2035	3332.1555	5510.0026	3725.0714	4212.6271	3105.7513	1570.0769	687.9381	7016.6659	1506.9706	3654.467	811.3241	1529.6797	1139.7619	3246.333	576.9023	2808.2725	4185.9112	5740.1414	4878.691	5156.2122
GALACTUROCAT-PWY	D-galacturonate degradation I	3442.4831	1269.435	4033.2199	9228.3596	947.5619	9079.753	13032.5532	5332.9815	14375.9565	2290.8485	4015.1429	8382.1845	14567.8235	9494.4048	13443.8017	9561.4188	1106.6589999999999	14283.3978	10175.1479	14894.5747	8263.2851	7809.3919	8698.0803	8567.5824	4955.1704	3686.5474	6356.0812	4573.2533	4891.4017	3848.6584	2154.126	1043.157	8296.5622	1584.5228	4496.8355	1124.5859	1842.2207	1385.4133	3455.1755	790.0352	3527.3951	4656.4545	7339.0923	5145.8484	6508.0655
GLCMANNANAUT-PWY	superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	16641.4127	29302.5549	11144.5804	14189.247	3115.0449	14280.0588	24577.683999999997	10143.2168	28557.2951	4734.365	17544.0261	8686.2442	17514.6436	19658.1075	21667.4489	20504.4159	18018.9826	16129.6863	27045.0311	17545.0927	12920.997	18148.4501	15976.3819	19394.9397	8942.6388	11770.5086	12373.3446	14443.0247	6318.8431	13951.0439	7132.5983	15028.3861	9084.4866	12805.7674	4457.5533	17799.2085	3609.9284	9096.305	4433.9782	23981.2865	6464.1298	3790.6493	10824.146	9465.3283	15589.8152
GLUCARDEG-PWY	D-glucarate degradation I	200.3948	144.5133	123.2224	183.1522	106.6387	6900.2367	9235.11	446.3214	9677.5727	95.3829	1772.109	2673.6707	3874.6494	3622.1644	4471.085999999999	86.505	136.7178	2907.4136	91.4017	1904.1714	191.5066	1026.3172	612.2636	1632.4902	224.40599999999998	773.575	325.8248	211.59400000000002	177.1168	237.0068	10.1846	13.3137	15.4969	15.9086	14.1922	142.9767	37.6245	21.9102	13.7283	64.2569	18.9061	12.8443	12.4335	10.6173	9.3184
GLUCONEO-PWY	gluconeogenesis I	16196.0212	14637.6349	10490.6751	15589.1205	2823.0651	17265.1785	33011.0473	18817.8368	37481.7478	6360.7882	21204.6483	12984.0067	32651.751	26106.9211	34403.2656	19720.0885	15208.1876	16658.4658	19892.5706	17172.0348	26169.623	28796.9877	31974.3811	31600.467999999997	13349.4854	12061.5525	12327.6763	13707.0958	7158.3371	12607.0285	6881.4569	14798.39	10957.6715	10611.5395	7354.0718	23843.0365	3682.1397	6312.2169	5207.1999	32434.1218	6586.8323	7124.2937	18444.5769	11673.2353	15662.4485
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	4808.9151	332.3195	614.0405	5105.2235	218.7633	10659.8573	15315.21	12146.0536	16234.563	2646.6503	5437.8382	4354.5484	6806.2389	7351.2557	8527.6061	4168.5061	241.6017	5279.9936	1186.2965	3434.232	9693.8876	11372.7113	14237.2336	10542.5597	2546.788	1320.0983	1603.5892	452.913	400.051	472.3267	291.7254	1796.62	311.801	202.7784	243.2174	356.5068	216.3251	178.0209	157.4152	304.0643	245.0146	510.3629	1414.2409	3417.9503	1617.8284
GLUCUROCAT-PWY	superpathway of &beta;-D-glucuronide and D-glucuronate degradation	3237.1142	1126.4897	3089.5807	7200.5433	882.9031	9679.6326	14200.2198	5579.7108	15611.9974	2146.0745	4066.684	7509.179	15981.5365	9809.0539	14779.2433	8584.2382	1093.9635	14389.8718	9918.1702	14762.7531	9151.0427	8638.5014	9652.4161	9450.5481	3906.2752	3657.1679999999997	5518.2335	3678.5725	4113.0866	2992.7579	1505.4982	698.5	6797.58	1538.4496	3486.4795	877.576	1480.7197	1197.0834	3348.7873	639.4595	2672.8333	4125.0016	5446.4368	5028.2345	4964.2439
GLUTORN-PWY	L-ornithine biosynthesis	8578.4744	1168.3253	4293.3087	13171.3198	917.5118	10335.9813	20550.572	16672.102	22897.3998	5133.804	12494.31	8841.2801	20527.3829	14948.2514	21419.7482	12809.8586	3873.1019	14771.4776	12280.976	15777.0985	20444.8397	21389.1621	26798.1371	22642.7406	9696.2233	6688.5732	7425.4914	5008.4021	4966.3555	3497.8298	3301.7296	8525.3465	8115.9818	2153.5648	5755.1122	12840.6589	2057.7063	2402.46	4504.0112	20791.2721	3544.9861	4563.1383	14649.5786	7302.7359	8860.1043
GLYCOCAT-PWY	glycogen degradation I (bacterial)	12237.2627	5418.559	9080.6618	17749.6944	2090.1981	15374.1296	27333.1679	19323.6946	31284.4559	6348.5549	15640.3475	12588.9433	26013.4928	21968.5112	28072.1459	21497.5505	5032.8568	19943.6497	25053.8963	21362.3482	23723.0322	25013.6085	29163.402000000002	26679.2974	11402.4683	11888.0899	13221.256000000001	11115.7097	7619.2863	9662.1285	6488.656	15461.8145	11892.1329	5214.6479	7007.8846	17177.801	3651.6304	6536.6175	5714.5941	26375.1468	6680.3649	6754.7991	14461.2102	10941.4881	15201.348
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	14292.1878	26001.9444	10473.0165	14271.6728	2816.757	12481.4168	16019.8457	10250.2609	18826.9674	4084.7121	13712.4208	9348.7928	10546.3952	14603.7049	11980.3383	19394.8863	16586.4368	17543.9883	25900.4065	19402.558999999997	9966.3662	11616.7206	13874.9334	11048.6981	7957.3562	11850.0471	12132.4167	12833.6833	6727.3607	12555.5657	7094.223000000001	16307.7142	10519.7389	11414.0851	5405.826999999999	9748.2759	3535.3667	8759.1373	4775.8011	3080.9335	6388.8933	4764.3537	11998.5274	8773.9216	15087.6033
GLYCOL-GLYOXDEG-PWY	superpathway of glycol metabolism and degradation	444.1715	299.861	270.1656	471.0853	218.7922	10150.0827	13064.6957	1305.1097	14680.8324	264.4049	4109.9232	4613.5201	8203.1929	7707.6001	9266.7815	204.57	276.8142	4312.3734	224.135	3074.9389	555.7101	2678.9051	1664.5229	3949.8693	620.1947	1737.1525	762.7507	628.3952	430.7881	663.7982	28.862	36.8498	45.0931	45.7083	41.7842	414.1262	98.2246	58.0375	40.0548	181.5064	54.5093	36.7487	36.2849	31.3976	27.4802
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	15152.9293	9855.5184	10289.8352	17660.5499	2717.8892	18718.7158	33249.812000000005	18663.9876	38058.8336	6506.8685	21632.9453	13833.3714	31060.9639	27115.8893	33620.8092	21023.5366	12547.0362	17399.7134	25263.3311	19211.4841	25824.0705	28766.3504	31674.1604	31328.178	13050.7633	13086.2006	13314.0271	13890.0057	7886.8514	12136.1589	6590.8724	12334.5851	11711.4338	8378.101	7179.762	21932.0765	3871.825	6054.9055	5500.8089	29651.5969	6938.3815	7068.1354	16926.7517	11514.4095	15948.8984
