Level_3	W2_DSS_1	W2_DSS_2	W2_DSS_3	W2_DSS_4	W2_DSS_5	W2_LbGP_1	W2_LbGP_2	W2_LbGP_3	W2_LbGP_4	W2_LbGP_5
Ribosome 	25699.34	26351.5986	26563.4836	25990.9233	29986.1258	32408.7296	27853.5792	28553.5901	25114.614	27695.4014
Thiamine metabolism 	27150.9218	27123.8018	27785.9645	26029.9	32218.1291	35936.1336	29673.3691	29614.7891	29742.5755	28076.2191
Protein export 	28106.9035	27790.476	28228.415	27728.224	29658.1685	30203.1905	25819.283	27787.7075	23971.326	26357.292
Homologous recombination 	26085.962	26673.547	26829.3213	26495.172	29657.954	31021.8403	26438.2337	28459.9767	24475.9817	26929.7993
Galactose metabolism 	29406.6821	30615.2028	30968.9317	30520.5303	31537.7259	29367.1517	23830.4676	28829.4993	24731.8945	26254.1552
Glycolysis / Gluconeogenesis 	24656.7937	26479.3677	25779.4593	27028.8545	29690.5558	28670.9018	23330.908	28958.5425	21416.0685	26885.6765
Fructose and mannose metabolism 	25463.4106	28948.0473	26885.4827	32086.9027	34420.3585	28785.6521	22387.8539	33760.2355	21469.1961	30399.0506
Drug metabolism - other enzymes 	24233.9555	24580.6282	24056.5164	24903.8764	27523.8364	28090.6764	24931.51	25973.4209	24123.6491	23516.9818
Amino sugar and nucleotide sugar metabolism 	26943.8076	28183.1889	28024.2906	29577.9144	28805.7226	25055.0541	20821.4824	26302.9215	20281.2906	24006.7056
Terpenoid backbone biosynthesis 	22819.2417	22971.6139	22879.3317	22965.72	26046.0072	26916.5361	23007.64	24755.9933	21032.3944	23743.3511
Cysteine and methionine metabolism 	23383.6133	23774.1079	23156.777	23729.5964	27543.9506	28583.3206	23364.2497	26135.5215	22353.6842	24441.5358
Folate biosynthesis 	25287.1783	24885.2233	26806.1025	24594.7592	24189.7425	25587.6458	23897.4	21467.3483	24314.2467	19167.7917
Pyruvate metabolism 	23005.4568	23804.0011	23570.4878	24210.2578	26267.7481	26878.0962	21870.5749	25904.693	21110.2878	23988.2043
Histidine metabolism 	26277.2453	24793.7437	25924.1132	24829.4584	27526.0295	26402.9389	21665.2837	21732.5179	23074.4337	19673.52
DNA replication 	22151.9723	22498.4127	22785.58	22343.1246	24574.3419	25294.1427	21618.4865	23776.5435	20004.0531	22546.4569
Starch and sucrose metabolism 	26048.3922	26183.4245	26714.2588	26370.259	25792.2008	25403.5062	21249.3297	25149.493	21698.721	22735.3622
Carbon fixation pathways in prokaryotes 	24434.0744	23309.2003	24660.89	24031.8797	23090.8826	19651.6576	18745.2641	20437.2794	17741.9888	18500.82
Pyrimidine metabolism 	20316.4903	20866.2115	20669.9532	20835.2848	23823.5987	24680.8619	20960.0744	22972.2899	19228.5512	21534.0899
"Phenylalanine, tyrosine and tryptophan biosynthesis "	24221.7932	22875.6626	24534.5065	23225.1787	24886.8277	25107.5084	20931.8606	20151.9368	21661.281	18745.3832
Vitamin B6 metabolism 	22587.66	22881.21	23446.5612	24042.7175	22020.9225	20605.9563	19289.3037	21637.3588	17868.0987	20272.8212
"Glycine, serine and threonine metabolism "	22804.8212	22687.8665	23015.8915	23749.2791	23774.6632	22501.7415	19302.4974	21294.72	18214.1132	19852.5126
Selenocompound metabolism 	24298.3553	23821.7373	23734.0293	23904.9453	23477.248	20355.0813	17296.9893	21602.6187	16594.8833	20303.2473
Citrate cycle (TCA cycle) 	24825.0874	23421.4144	25925.3737	24464.9478	20186.3915	16006.5615	16177.3167	17920.6581	15295.4015	15848.6663
Nicotinate and nicotinamide metabolism 	18697.1478	19002.7433	18834.6183	19443.785	22013.5067	23764.3572	20012.6422	20263.4372	19105.1894	19056.2906
Lipoic acid metabolism 	27733.845	26351.365	30529.085	27149.175	16954.36	11911.93	15162.78	17391.035	11397.065	15035.405
RNA polymerase 	16739.1	16792.7323	16622.6007	17299.6563	20915.3287	23829.0637	19824.412	19830.7127	19195.142	18470.5147
Bacterial chemotaxis 	19281.7362	12030.9762	11380.9454	13599.1577	19194.4915	20039.5085	15065.0485	17474.5677	14537.7462	18920.3423
Cyanoamino acid metabolism 	20632.1321	20187.5221	20465.4243	20791.3786	21071.53	19148.7629	17437.9664	17205.8064	18756.2357	15405.6371
Base excision repair 	18003.7057	18149.4776	18258.0995	18480.0305	19275.2448	19936.7124	16677.42	18719.9462	14950.9038	17377.879
Sulfur relay system 	13404.9036	13486.3082	12914.4991	13684.8309	19003.5591	22298.1364	17437.8027	18310.1345	17279.8745	18598.8791
Pentose and glucuronate interconversions 	19774.7958	19978.755	19514.1158	21733.3	23063.4931	20996.6604	17828.6462	19145.5323	19137.4496	17083.6338
Purine metabolism 	16298.9445	16553.4566	16572.2009	16777.6708	18506.8508	19466.6872	16243.0943	17869.4706	15064.8824	16760.1112
Lipopolysaccharide biosynthesis 	23812.8607	21944.4407	25337.5693	22667.4887	15827.2187	9498.6427	12348.1947	10476.2507	11028.0367	9402.3367
Taurine and hypotaurine metabolism 	17138.6838	17220.755	16183.9213	17493.455	17030.9838	15465.43	13815.4312	15942.68	11866.5563	14936.255
Sulfur metabolism 	19785.38	19816.7862	20071.7569	19874.2606	18404.0038	15877.6669	13538.3331	16574.4681	13501.3844	15380.9088
Glycosaminoglycan degradation 	24352.62	25238.4343	29084.3229	21749.4986	17813.8457	9812.9771	13949.3643	9746.1929	17206.9443	8095.5143
Nucleotide excision repair 	15226.3842	14912.5938	15361.4538	14551.8358	15889.6221	16398.2096	14038.9042	16027.2367	12579.2338	14754.5042
Arginine and proline metabolism 	16959.3506	16349.749	17001.7067	17030.97	16397.3744	15803.8371	13326.2741	13768.2965	13424.2679	12487.473
Bacterial secretion system 	14770.8019	14504.7422	14953.5708	14723.4795	14668.3295	14247.8624	12443.0965	13681.1705	11304.5992	13065.2995
Riboflavin metabolism 	16533.6142	15706.1358	16863.1583	16779.3033	15811.375	16437.2925	14032.17	13160.2217	13658.44	12516.7442
ABC transporters 	13632.1059	12919.1228	12815.7539	15030.4971	16299.2219	18124.9777	13226.0901	14956.5305	13050.3696	14369.6218
Glyoxylate and dicarboxylate metabolism 	15996.7433	15726.8806	16151.0421	16916.9976	16215.5542	13481.957	11605.4655	13611.6982	11497.503	12755.5906
Nitrogen metabolism 	15352.9648	15078.3326	15426.2452	16145.5966	15782.2594	14273.8522	11828.3346	13049.808	11804.4474	11789.0634
Butanoate metabolism 	13960.7106	13860.7697	13478.5034	14654.8774	15448.9603	13483.7474	11281.5614	15450.3471	9940.5466	14292.0429
Propanoate metabolism 	12636.1545	13323.2067	12692.1918	13559.6582	15134.7803	14406.0742	11922.2212	15572.2591	10812.4555	14255.7779
Phosphotransferase system (PTS) 	6988.5518	14431.1318	8594.0195	17774.1297	25762.4379	17092.3953	9896.2255	23763.0113	8574.8863	22013.8345
Zeatin biosynthesis 	12735.315	12773.0675	13110.565	12709.5375	13151.6075	12888.5275	12431.3675	11912.82	11431.8375	10975.57
Sphingolipid metabolism 	17865.8135	17319.5435	19586.7985	16346.6325	13567.7575	11633.297	11715.8255	11472.128	13093.362	9599.105
RNA degradation 	12564.2697	12696.5592	13363.7626	12541.4576	12633.9866	12777.6697	11063.0863	11936.8924	10365.0321	11098.8911
Glycerophospholipid metabolism 	11411.6977	11208.4933	11365.7583	11569.6898	12131.048	12503.6905	10182.4287	11764.9635	9689.691	11291.5083
Porphyrin and chlorophyll metabolism 	13452.4613	11717.9008	12737.7004	12567.1798	12901.3889	14348.686	11049.7134	11605.5966	11298.2774	10676.6417
Methane metabolism 	12088.0238	11176.7837	11076.0295	11838.6834	12979.3037	11961.6543	9616.5667	11728.5671	9700.4901	10834.2499
Glycerolipid metabolism 	10135.9641	10562.2866	10165.0797	11106.6531	13222.5816	13265.8144	10429.2891	13908.4122	9732.9419	12759.1838
Glutathione metabolism 	9187.2984	10094.5079	9113.4263	10422.6426	10031.8242	10069.4353	8606.2589	9790.4558	7686.4353	9133.0705
Flagellar assembly 	10020.35	6333.3148	5463.67	7465.0357	9900.0767	10619.2624	6901.4552	9273.8105	6644.66	10381.2338
Chloroalkane and chloroalkene degradation 	9025.5785	9808.7262	8946.7362	10185.4931	11269.4315	11521.5454	9021.8538	12263.8562	7555.6892	11787.7069
beta-Alanine metabolism 	8977.69	8996.6713	9028.0119	8981.3525	10155.7169	10226.6556	9426.9919	9144.9888	9111.645	8586.505
Photosynthesis 	9068.3784	9208.2069	9238.5688	9061.04	10690.2275	10655.5122	9268.5344	11141.1316	8379.2606	10483.9206
Nitrotoluene degradation 	11205.1655	9652.2191	11530.5445	11166.3609	9128.5364	9385.0109	7645.4218	6854.4464	7643.0918	6077.4945
Ubiquinone and other terpenoid-quinone biosynthesis 	9838.559	9933.6225	11011.7025	10258.998	7516.091	5220.8595	6561.0005	6670.4975	5094.675	6097.554
Oxidative phosphorylation 	9127.1639	9140.7248	9659.7423	9098.6664	9431.0217	8703.5922	8031.6703	8496.5144	7763.2679	7850.4694
Polyketide sugar unit biosynthesis 	10960.12	10093.6119	10477.3181	10034.5531	11310.7906	10889.8144	9516.2287	9641.9025	10052.725	8806.245
"Valine, leucine and isoleucine degradation "	9401.9283	9316.5652	9799.3428	9533.7814	8338.8803	6665.2438	6649.7014	8021.9714	5796.0669	7359.3607
Two-component system 	8605.7324	7870.6139	7875.9749	8751.2705	8612.8827	7819.7635	6022.9819	7739.5994	5726.6765	7523.0749
Fatty acid degradation 	7534.5137	7452.0204	7181.8371	7916.3083	8386.7383	7354.0779	6776.4958	8542.9467	5849.0337	8199.5462
"Tropane, piperidine and pyridine alkaloid biosynthesis "	8483.2408	8223.4692	8428.7125	8670.15	8260.3542	7795.33	7061.5067	6477.3808	6938.3683	6000.0942
Toluene degradation 	8738.8036	8873.6229	10232.6793	10241.145	6822.0221	4430.8186	4706.7529	4666.4414	3859.9471	4119.5936
Biosynthesis of unsaturated fatty acids 	7932.3287	7565.9433	8313.4553	8528.458	7715.0627	8844.6727	6944.5753	6926.4427	6632.6753	6618.7467
Synthesis and degradation of ketone bodies 	5141.3725	5642.47	3923.5425	6553.9125	8786.59	6609.8025	5513.8	9807.6925	3760.68	10191.73
Ascorbate and aldarate metabolism 	7263.3228	8742.8006	7765.82	10487.7017	9728.3083	6609.2567	5137.865	8748.6628	4816.1894	7574.1194
Bisphenol degradation 	8120.73	9626.645	9085.005	10861.815	0	7965.825	5847.0617	8753.48	5721.155	7696.5733
Linoleic acid metabolism 	7617.4617	8761.9383	8526.0133	9838.2533	8964.4867	7534.2083	5636.7783	8093.53	5557.4217	7124.48
Phenylalanine metabolism 	8213.5754	7288.2446	7805.5519	8043.5373	6967.2762	5072.7912	4400.7885	4997.9331	4579.3342	4345.8215
Tyrosine metabolism 	5485.4223	5470.6965	5281.6239	5585.2439	5877.9768	5545.0223	4878.0271	5954.341	4154.6	5751.6423
Inositol phosphate metabolism 	5903.1487	5121.1974	5411.1526	4931.997	5831.2109	5021.8778	4654.937	6587.29	4365.5657	5598.6009
Peroxisome 	5589.9154	5386.3003	5828.9337	5838.1103	4721.2186	3742.294	3620.1223	3811.812	3686.598	3418.6857
Phosphonate and phosphinate metabolism 	4778.8193	5176.0071	5358.1879	5440.8193	5007.2879	3808.7421	3508.3986	3845.1986	3197.2543	3214.7657
Dioxin degradation 	3416.4114	3306.1414	2601.9171	3286.45	4337.36	5553.64	3670.9757	4604.2771	3119.7271	4526.3614
Plant-pathogen interaction 	3509.9829	3344.146	3344.1289	3572.5534	4168.4026	4012.2766	3154.1229	3641.1403	3052.3629	3657.4271
Tetracycline biosynthesis 	0	8930.5744	0	9251.9	12225.0456	0	0	0	9366.9989	0
Tryptophan metabolism 	3866.2671	3734.4184	3982.1319	3916.889	3758.6258	3473.9481	2921.0952	3395.4	2607.16	3227.0268
Primary bile acid biosynthesis 	3746.5	3949.1267	3919.6144	4085.79	3815.4544	2380.7744	2687.8244	3664.7967	2294.6733	3441.5044
Lysine degradation 	4075.6326	4042.993	4130.9544	4259.0019	3946.1156	3589.3441	2970.3652	3059.4133	2984.5326	2864.0956
Metabolism of xenobiotics by cytochrome P450 	3628.7709	3774.7773	3568.69	3434.9882	3019.0373	0	0	3829.7673	1839.0673	3785.4218
Biofilm formation - Vibrio cholerae 	2466.1452	2865.5219	2504.2124	3257.8433	3725.1276	3507.6671	2947.2824	3628.0157	2458.259	3462.7143
Geraniol degradation 	3433.035	3181.1825	3043.4875	3549.5125	2560.725	1655.2038	1990.9038	2074.41	1875.1462	1828.1037
Aminobenzoate degradation 	3175.9177	3222.4747	2926.442	3239.4857	3068.1993	3022.9847	2432.56	3652.1857	2142.0523	3507.178
Benzoate degradation 	3207.7237	3120.6068	2881.2489	3380.1013	3639.7237	3265.6555	2458.5966	3665.0011	2066.3247	3579.0803
Limonene and pinene degradation 	2155.5491	2163.6227	1568.19	1881.2055	3060.9382	4018.9473	3108.3118	3454.0445	2407.3982	3429.5536
D-Arginine and D-ornithine metabolism 	4115.93	5678.26	3289.66	7752.76	6095.35	1958.97	1013.87	3384.79	521.34	3243.02
Atrazine degradation 	1648.0643	1997.35	1564.07	1718.9171	1595.3429	2728.6171	2138.0243	3706.3029	950.4671	3811.7971
Epithelial cell signaling in Helicobacter pylori infection 	2780.7346	2757.8446	2817.6693	2731.3782	2920.4625	3221.7339	2674.2746	2800.5621	2472.5921	2639.3825
Xylene degradation 	1667.612	1501.691	1157.201	1538.23	2271.364	3081.99	1953.446	2128.297	1884.467	2059.629
Insulin signaling pathway 	2018.1097	2130.8805	2272.5656	2223.8805	1946.9067	2099.5567	1615.6187	1765.6941	1609.6587	1616.6174
Chlorocyclohexane and chlorobenzene degradation 	1599.649	1855.428	1728.101	2266.162	1261.247	1404.811	978.899	1800.603	449.225	1632.471
Styrene degradation 	2427.2533	1914.7978	1957.0322	2583.5644	2229.1511	1054.8867	741.0367	2179.1178	546.4822	1769.0589
Ethylbenzene degradation 	3539.4133	3318.5233	2328.2183	0	2572.3117	0	0	0	865.525	0
Retinol metabolism 	2012.2222	1979.1761	1834.2372	1628.2944	1689.9494	0	1504.2239	2139.6794	1021.9506	2135.5122
Steroid hormone biosynthesis 	2801.9361	2670.0661	3091.9911	2812.2161	1361.855	890.0894	1005.095	1086.9739	1328.4389	809.4467
NOD-like receptor signaling pathway 	1532.13	1423.7054	1534.56	1411.2488	1590.8623	1609.4985	1388.9842	1249.0923	1484.4431	1170.1338
N-Glycan biosynthesis 	1429.7536	1213.5486	1318.5341	1354.0655	1309.9236	1416.7727	1442.9732	1139.4123	1436.5373	944.9727
Biosynthesis of siderophore group nonribosomal peptides 	1117.0431	1442.7131	1624.7981	1680.55	822.4812	720.5225	946.2838	1409.4569	812	597.765
Lysosome 	0	0	0	0	0	0	2810.3368	0	0	0
RNA transport 	997.1742	962.1011	934.5844	1039.8385	1296.4992	1505.3776	1170.1179	1276.382	1206.7244	1244.0061
Penicillin and cephalosporin biosynthesis 	739.0157	1054.0514	582.7857	832.3271	887.3457	986.5343	809.4171	1747.4129	346.0614	1916.0871
Ribosome biogenesis in eukaryotes 	953.2571	1002.6427	1021.549	1036.7246	1083.6205	1135.178	951.9327	994.3517	853.8246	964.7466
Protein processing in endoplasmic reticulum 	1023.2345	930.861	974.6478	928.7864	980.0052	908.22	914.7978	867.681	855.9439	799.0967
Protein digestion and absorption 	1508.4132	1508.266	1601.002	1584.5664	1099.2732	590.6632	834.5268	714.9696	925.2244	493.8624
Staphylococcus aureus infection 	370.9658	628.9791	315.4745	460.8688	734.9697	960.837	793.6506	1506.7818	319.7994	1535.8048
Caprolactam degradation 	1185.3757	790.9414	711.16	819.5686	412.9	364.2814	314.9814	406.6871	194.8086	349.3186
Apoptosis 	676.851	606.3039	589.9445	549.0129	713.4923	561.1774	897.7074	484.7929	925.8942	406.4216
Fluorobenzoate degradation 	223.92	396.945	555.7987	684.335	193.7837	287.2075	193.3338	194.6188	102.29	192.1125
Bacterial invasion of epithelial cells 	104.2788	408.9003	237.9848	625.4973	133.8648	303.6515	126.6212	102.3167	76.2812	96.7776
Shigellosis 	62.9745	345.2513	199.4516	553.1384	73.2165	267.5484	111.9677	72.2674	60.1545	81.8387
Amoebiasis 	1106.8159	1010.5287	1160.0223	1240.8251	465.3913	229.1995	163.7205	380.2679	185.1154	247.421
Alzheimer disease 	649.1879	0	0	597.7683	682.3609	0	0	0	517.8023	0
Non-homologous end-joining 	546.191	580.933	216.382	553.479	576.7	216.117	170.392	363.2	88.373	363.434
Carotenoid biosynthesis 	387.2859	440.9594	590.9506	371.9594	115.1965	66.2494	111.21	92.2047	36.0929	69.9835
Steroid biosynthesis 	772.3675	841.2512	1158.255	675.4412	167.5638	13.8444	77.5994	11.8269	14.8875	10.3581
Parkinson disease 	114.044	85.7132	73.6749	88.3958	105.3411	63.6593	68.4714	84.5005	35.0258	78.2577
African trypanosomiasis 	22.2106	58.3839	51.9283	95.0617	22.6167	46.4411	25.7089	21.9744	15.445	20.425
Flavonoid biosynthesis 	117.666	63.849	86.534	35.534	47.9	43.533	44.134	61.416	51.35	27.234
Meiosis - yeast 	90.784	36.4058	59.1466	70.406	71.9984	18.2468	30.8552	49.5482	11.28	54.5766
Toxoplasmosis 	90.1704	42.5191	40.7515	29.2053	70.4666	26.5904	39.206	75.9134	15.723	67.6634
Polycyclic aromatic hydrocarbon degradation 	38.5494	38.2882	83.6924	57.5941	31.2976	20.0541	10.8859	26.4635	13.3971	40.1194
Betalain biosynthesis 	34.25	11.375	35.625	24.125	25.75	8.25	8.5	6.04	5.5	11.75
Photosynthesis - antenna proteins 	8	13.1429	19.8095	5.7143	3.4286	15.2381	3.4048	4.5714	10.8571	2.8571
Pathways in cancer 	0	0	0	0	0	0	0	0	0	0
Pathogenic Escherichia coli infection 	0	0	0	0	0	0	0	0	0	0
Proteasome 	2.9238	3.2675	1.6458	2.7604	3.9896	3.4583	1.0208	2.875	1.8021	2.5521
Biosynthesis of type II polyketide backbone 	8	8	2.25	8	11	0.6667	1	1	2	1
Plant hormone signal transduction 	0.1909	0.3273	0.2455	0.2727	55.9727	0.0364	0.0727	0.0182	0	0
Hypertrophic cardiomyopathy (HCM) 	0	0.6316	0.3268	0.2718	2.3113	0.6382	1.6163	3.1489	1.1184	1.8508
Isoflavonoid biosynthesis 	0.2957	0.2857	0.1429	0.1843	0.0714	0.1429	0	0.2857	0.1529	0
Sesquiterpenoid and triterpenoid biosynthesis 	2.4	2.6	0.7	2.4	3.3	0.4	0.3	0.3	0.7	0
Vibrio cholerae infection 	0.4792	1.4583	0.2292	0.625	0.9446	0.7571	0.2988	0.6183	0.5483	1.0488
Renin-angiotensin system 	1.7811	0	0	0	0	0	0	0	0	0
Biosynthesis of type II polyketide products 	0	0	2	0	0	2	0	1	0	0
Endocytosis 	0.059	0.1014	0.4203	0.468	0.4275	0.5942	0.6546	0.4203	0.5155	0.1812
Calcium signaling pathway 	0.1654	0.2288	0	0	1.097	0	0	0	0.6094	0.9627
Systemic lupus erythematosus 	0.2826	0.3043	0.1087	0.1957	0.4348	0.1304	0.1739	0.0578	0.1522	0.3043
Wnt signaling pathway 	0.1224	0.2245	0.102	0.0788	0.0831	0.0408	0.0408	0	0.0408	0.0204
Vasopressin-regulated water reabsorption 	0	0	0	0	0	0	0	0	0	0
Brassinosteroid biosynthesis 	0	0.4	0	0	0	0	0	0	0.2	0
Spliceosome 	0	0	0	0	0	0.0333	0.05	0.0167	0	0.0667
ECM-receptor interaction 	0	0.0357	0.0268	0	0	0	0	0	0	0.1071
Basal transcription factors 	0	0	0	0	0	0	0	0	0	0
Dorso-ventral axis formation 	0	0	0	0	0	0	0	0	0	0
mRNA surveillance pathway 	0	0	0	0	0	0	0	0	0	0
Neuroactive ligand-receptor interaction 	0.0011	0.0011	0	0	0	0	0	0	0	0
